-04 14:05:48,934 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:48,972 [INFO] ⬅️  422 https://dev.api.fliz.com.sa/api/v1/common/auth/login (38ms)
2026-05-04 14:05:48,977 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,018 [INFO] ⬅️  404 https://dev.api.fliz.com.sa/api/v1/common/auth/login (41ms)
2026-05-04 14:05:49,025 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,127 [INFO] ⬅️  422 https://dev.api.fliz.com.sa/api/v1/common/auth/login (102ms)
2026-05-04 14:05:49,134 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,173 [INFO] ⬅️  422 https://dev.api.fliz.com.sa/api/v1/common/auth/login (39ms)
2026-05-04 14:05:49,188 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,348 [INFO] ⬅️  400 https://dev.api.fliz.com.sa/api/v1/common/auth/login (161ms)
2026-05-04 14:05:49,356 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,396 [INFO] ⬅️  422 https://dev.api.fliz.com.sa/api/v1/common/auth/login (41ms)
2026-05-04 14:05:49,401 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,441 [INFO] ⬅️  422 https://dev.api.fliz.com.sa/api/v1/common/auth/login (40ms)
2026-05-04 14:05:49,444 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,651 [INFO] ⬅️  200 https://dev.api.fliz.com.sa/api/v1/common/auth/login (206ms)
2026-05-04 14:05:49,659 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:05:49,835 [INFO] ⬅️  200 https://dev.api.fliz.com.sa/api/v1/common/auth/login (175ms)
2026-05-04 14:05:49,952 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/signUp
2026-05-04 14:05:49,988 [INFO] ⬅️  422 https://dev.api.fliz.com.sa/api/v1/common/auth/signUp (36ms)
2026-05-04 14:16:36,193 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
2026-05-04 14:16:36,490 [INFO] ⬅️  200 https://dev.api.fliz.com.sa/api/v1/common/auth/login (296ms)
2026-05-04 14:16:36,503 [INFO] ➡️  POST https://dev.api.fliz.com.sa/api/v1/common/auth/login
